epoch_step,epoch,total_epochs,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95
418/500,418,500,0.906373,0.538076,0.976953,0.944150,0.875340,0.930640,0.671310
419/500,419,500,0.900921,0.537559,0.975446,0.943750,0.874490,0.929780,0.670930
420/500,420,500,0.918028,0.541849,0.975882,0.944230,0.875710,0.930100,0.671390
421/500,421,500,0.914018,0.540437,0.977662,0.942070,0.875940,0.929750,0.671560
422/500,422,500,0.902396,0.538358,0.972605,0.941240,0.876700,0.929470,0.671200
423/500,423,500,0.907813,0.536171,0.971084,0.941540,0.876970,0.929580,0.670910
424/500,424,500,0.904528,0.537161,0.975505,0.941840,0.876790,0.929480,0.671130
425/500,425,500,0.896661,0.529060,0.974856,0.941840,0.875080,0.929330,0.671430
426/500,426,500,0.900992,0.537736,0.975740,0.942500,0.875020,0.929110,0.671420
427/500,427,500,0.899698,0.533535,0.976256,0.942470,0.875890,0.929470,0.671580
428/500,428,500,0.909775,0.539290,0.977474,0.942430,0.875860,0.929200,0.671460
429/500,429,500,0.901467,0.536530,0.974413,0.942570,0.874650,0.929140,0.671090
430/500,430,500,0.898391,0.531282,0.972700,0.940420,0.877200,0.929180,0.671570
431/500,431,500,0.891722,0.526344,0.971624,0.940990,0.875810,0.929160,0.671560
432/500,432,500,0.892245,0.534812,0.978301,0.941350,0.876100,0.929250,0.671500
433/500,433,500,0.897629,0.533182,0.970189,0.942010,0.874210,0.929300,0.670860
434/500,434,500,0.898564,0.536787,0.976563,0.939930,0.874690,0.928970,0.671030
435/500,435,500,0.887641,0.523404,0.966138,0.940910,0.874870,0.929150,0.671350
436/500,436,500,0.896739,0.533946,0.968342,0.941500,0.874050,0.929550,0.671590
437/500,437,500,0.897129,0.532085,0.970160,0.949160,0.868290,0.929900,0.671700
438/500,438,500,0.894819,0.529954,0.972744,0.942340,0.874460,0.929940,0.671620
439/500,439,500,0.892572,0.530925,0.972848,0.943060,0.872180,0.929620,0.671960
440/500,440,500,0.892185,0.530086,0.968653,0.949240,0.867110,0.929230,0.671320
441/500,441,500,0.877758,0.521030,0.965197,0.951230,0.866080,0.929160,0.671200
442/500,442,500,0.893626,0.528753,0.972983,0.952550,0.865680,0.929100,0.671130
443/500,443,500,0.885523,0.526383,0.970862,0.954220,0.864440,0.928900,0.671130
444/500,444,500,0.896127,0.529176,0.967942,0.952660,0.865880,0.929180,0.671360
445/500,445,500,0.889708,0.520591,0.965673,0.954900,0.865290,0.929180,0.671370
446/500,446,500,0.888674,0.528618,0.973514,0.951900,0.865290,0.929040,0.671090
447/500,447,500,0.898258,0.529369,0.979175,0.953650,0.864880,0.929000,0.670950
448/500,448,500,0.885787,0.522379,0.967626,0.951680,0.865290,0.928820,0.671090
449/500,449,500,0.875743,0.512953,0.961860,0.952520,0.865500,0.928810,0.671130
450/500,450,500,0.880006,0.515992,0.961730,0.950480,0.865080,0.928190,0.671280
451/500,451,500,0.887522,0.526447,0.970641,0.951290,0.865910,0.928500,0.671300
452/500,452,500,0.880944,0.520321,0.964574,0.951890,0.866550,0.928710,0.671300
453/500,453,500,0.882477,0.520518,0.969261,0.952400,0.865930,0.928990,0.671070
454/500,454,500,0.880051,0.512487,0.966174,0.951880,0.866610,0.929450,0.671080
455/500,455,500,0.886062,0.517558,0.969275,0.952110,0.865930,0.928710,0.671490
456/500,456,500,0.870873,0.513238,0.965081,0.954830,0.863160,0.928170,0.671420
457/500,457,500,0.874779,0.512460,0.963490,0.954620,0.863980,0.928120,0.671330
458/500,458,500,0.887153,0.517863,0.969783,0.954410,0.865590,0.928700,0.671900
459/500,459,500,0.879708,0.518273,0.964622,0.954040,0.865770,0.928360,0.672070
460/500,460,500,0.868728,0.516764,0.965254,0.955830,0.864120,0.928770,0.672370
461/500,461,500,0.870743,0.505843,0.961741,0.955650,0.865070,0.928680,0.672180
462/500,462,500,0.879060,0.516376,0.969848,0.956100,0.865470,0.928990,0.671660
463/500,463,500,0.879571,0.520451,0.967625,0.956430,0.865240,0.929020,0.671980
464/500,464,500,0.876430,0.512170,0.963669,0.956600,0.864180,0.928660,0.671900
465/500,465,500,0.873755,0.513912,0.965016,0.955980,0.864720,0.928780,0.671960
466/500,466,500,0.872176,0.510527,0.964733,0.955920,0.864790,0.928650,0.671990
467/500,467,500,0.881452,0.512597,0.961443,0.954820,0.865060,0.929050,0.672110
468/500,468,500,0.871270,0.515684,0.964678,0.956260,0.864640,0.929420,0.672520
469/500,469,500,0.865675,0.512941,0.961844,0.955120,0.865240,0.929290,0.672320
470/500,470,500,0.865702,0.507769,0.964124,0.955690,0.865620,0.929580,0.672480
471/500,471,500,0.865146,0.502406,0.961224,0.960200,0.864640,0.929590,0.672170
472/500,472,500,0.865090,0.500521,0.959105,0.956960,0.865260,0.929220,0.672080
473/500,473,500,0.871213,0.507618,0.963206,0.961200,0.864640,0.929640,0.672300
474/500,474,500,0.863016,0.500577,0.960613,0.960460,0.864790,0.929730,0.672480
475/500,475,500,0.864369,0.503142,0.961481,0.960600,0.864850,0.929690,0.672490
476/500,476,500,0.871236,0.501776,0.960245,0.960430,0.864850,0.929720,0.671990
477/500,477,500,0.862660,0.502025,0.956596,0.960720,0.865290,0.930020,0.672140
478/500,478,500,0.865112,0.501831,0.962940,0.961400,0.865920,0.930210,0.671850
479/500,479,500,0.855967,0.497601,0.959216,0.961320,0.865730,0.930310,0.671920
480/500,480,500,0.855027,0.506599,0.962471,0.961930,0.865000,0.930200,0.672070
481/500,481,500,0.857151,0.499185,0.957899,0.961270,0.865640,0.930230,0.672180
482/500,482,500,0.859831,0.499486,0.958738,0.961250,0.865220,0.929940,0.672100
483/500,483,500,0.856020,0.501136,0.957950,0.961260,0.865490,0.930150,0.672020
484/500,484,500,0.851299,0.492067,0.956130,0.961990,0.866530,0.930630,0.672890
485/500,485,500,0.856018,0.494984,0.955971,0.960960,0.866990,0.930490,0.672820
486/500,486,500,0.850252,0.495319,0.955889,0.961040,0.866780,0.930450,0.672600
487/500,487,500,0.844172,0.492510,0.956098,0.959140,0.867820,0.930430,0.672920
488/500,488,500,0.847646,0.496768,0.955858,0.959540,0.868230,0.930610,0.673120
489/500,489,500,0.851657,0.493220,0.955024,0.959280,0.868230,0.930490,0.672710
490/500,490,500,0.856344,0.494546,0.957861,0.963090,0.865970,0.930480,0.672640
491/500,491,500,0.775235,0.390095,0.889712,0.962470,0.866060,0.930450,0.672910
492/500,492,500,0.768023,0.383500,0.888444,0.961990,0.866990,0.930530,0.673200
493/500,493,500,0.768106,0.382592,0.887718,0.962680,0.866860,0.930840,0.673130
494/500,494,500,0.766761,0.379827,0.886260,0.959930,0.868540,0.930770,0.673200
495/500,495,500,0.766976,0.381258,0.885085,0.960720,0.868230,0.930660,0.673280
496/500,496,500,0.761227,0.377951,0.884925,0.962710,0.866780,0.930450,0.672680
497/500,497,500,0.757586,0.377055,0.887278,0.961540,0.867170,0.930370,0.672920
498/500,498,500,0.766589,0.380080,0.885899,0.962050,0.866100,0.930270,0.672610
499/500,499,500,0.757293,0.376694,0.882123,0.962560,0.866370,0.930090,0.672580
500/500,500,500,0.761434,0.377379,0.882574,0.962180,0.866580,0.930520,0.672570
500/500,500,500,0.761434,0.377379,0.882574,0.960482,0.868169,0.930501,0.672740
